PARTY,Q2A_C,Q2A_D,Q2A_F,Q2B_A,Q2B_B,Q2B_C,Q2B_D,Q2B_E,Q2B_F,Q2B_G,Q2B_H,Q2B_I,Q2B_J,Q2B_K,Q2B_L,Q2B_M,Q2B_N,Q2B_O,Q2B_P,demFav,Q2A_A,Q2A_B,Q2A_E,repFav,cDemFav,zDemFav,zRepFav
Independent,2,2,1,2,2,2,2,2,2,2,NA,NA,2,NA,2,2,2,NA,NA,3.071428571,4,NA,4,1,0.738567088,0.921360336,-1.247853227
Other,3,NA,3,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,2,-0.332861484,-0.415243752,0.009082872
Republican,4,4,2,3,3,NA,4,2,4,NA,4,4,2,NA,NA,NA,NA,NA,NA,1.727272727,2,NA,2,3,-0.605588757,-0.755470247,1.26601897
Democrat,2,NA,1,1,2,1,2,1,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,3.222222222,NA,2,3,2.5,0.889360738,1.109474985,0.637550921
Democrat,3,1,1,3,2,2,3,1,1,NA,NA,4,3,NA,3,2,NA,3,NA,2.714285714,4,NA,4,1,0.38142423,0.47582564,-1.247853227
Independent,3,4,2,3,NA,NA,3,2,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2.25,3,NA,3,2,-0.082861484,-0.103369465,0.009082872
Republican,4,NA,2,4,4,4,3,3,3,NA,NA,NA,NA,2,4,3,NA,NA,NA,1.727272727,2,4,2,2.333333333,-0.605588757,-0.755470247,0.428061571
Republican,4,4,2,2,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.571428571,2,NA,3,2.5,-0.761432912,-0.949885387,0.637550921
Independent,3,3,1,2,3,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.444444444,2,NA,2,3,0.111582961,0.139199425,1.26601897
Republican,4,NA,3,3,3,NA,3,3,4,NA,NA,4,NA,NA,NA,3,NA,NA,NA,1.666666667,3,NA,3,2,-0.666194817,-0.831076135,0.009082872
