PARTY,Q2A_C,Q2A_D,Q2A_F,Q2B_A,Q2B_B,Q2B_C,Q2B_D,Q2B_E,Q2B_F,Q2B_G,Q2B_H,Q2B_I,Q2B_J,Q2B_K,Q2B_L,Q2B_M,Q2B_N,Q2B_O,Q2B_P,demFav,Q2A_A,Q2A_B,Q2A_E,repFav,cDemFav,zDemFav,zRepFav
Independent,2,2,1,2,3,3,3,3,3,2,4,2,NA,NA,NA,3,3,NA,NA,2.428571429,4,NA,3,1.5,0.095709945,0.119397883,-0.619385178
Independent,4,4,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3.142857143,4,NA,4,1,0.809995659,1.010467275,-1.247853227
Republican,4,NA,4,3,4,4,4,4,4,3,4,NA,NA,NA,3,4,NA,NA,3,1.307692308,1,2,2,3.333333333,-1.025169176,-1.278895624,1.684997669
Democrat,NA,NA,1,2,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,4,NA,NA,1,0.867138516,1.081752826,-1.247853227
Other,3,3,3,3,3,3,3,3,3,3,3,NA,3,NA,NA,3,3,NA,NA,2,3,NA,3,2,-0.332861484,-0.415243752,0.009082872
Republican,4,NA,4,4,4,NA,4,4,4,NA,NA,NA,NA,NA,NA,4,NA,NA,4,1,1,3,2,3,-1.332861484,-1.662740901,1.26601897
Democrat,2,4,1,2,NA,3,4,NA,4,3,2,NA,NA,NA,4,4,NA,1,NA,2.166666667,4,NA,2,2,-0.166194817,-0.207327561,0.009082872
Democrat,3,NA,2,3,3,3,3,2,2,3,NA,NA,3,NA,NA,3,NA,3,3,2.230769231,3,3,3,2,-0.102092253,-0.127359795,0.009082872
Democrat,1,NA,1,4,4,NA,1,1,4,NA,NA,3,4,4,NA,NA,NA,4,NA,2.181818182,4,4,4,1,-0.151043302,-0.188426089,-1.247853227
Independent,3,NA,3,3,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.375,2,3,2,2.666666667,-0.957861484,-1.19492947,0.84704027
Republican,4,4,4,4,3,NA,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,1,NA,2,3.5,-1.082861484,-1.350866613,1.894487019
Democrat,2,NA,2,2,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2,3,3,2.333333333,0.467138516,0.582753967,0.428061571
Democrat,2,NA,2,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,2,2,0.667138516,0.832253397,0.009082872
Independent,4,NA,4,4,4,NA,4,4,4,4,NA,NA,4,NA,4,NA,4,NA,NA,1,1,NA,2,3.5,-1.332861484,-1.662740901,1.894487019
Republican,4,3,4,4,3,NA,NA,4,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1.5,2,NA,2,3,-0.832861484,-1.038992326,1.26601897
Democrat,2,2,2,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,4,NA,3,1.5,0.667138516,0.832253397,-0.619385178
Republican,3,3,3,2,NA,NA,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,3,-0.332861484,-0.415243752,1.26601897
Democrat,2,2,1,2,1,1,1,2,1,NA,2,NA,NA,2,NA,NA,2,NA,2,3.384615385,4,NA,3,1.5,1.051753901,1.312059992,-0.619385178
Republican,4,4,3,4,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.142857143,2,NA,3,2.5,-1.190004341,-1.484527022,0.637550921
Republican,4,NA,3,3,4,4,4,NA,NA,4,NA,NA,NA,3,NA,NA,NA,NA,NA,1.375,2,NA,2,3,-0.957861484,-1.19492947,1.26601897
Democrat,3,NA,2,1,4,2,3,2,3,NA,NA,2,NA,NA,NA,2,NA,3,NA,2.545454545,4,3,4,1.333333333,0.212593062,0.265209238,-0.828874527
Independent,2,3,2,3,3,3,3,2,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2.4,4,NA,3,1.5,0.067138516,0.083755107,-0.619385178
Republican,3,4,3,3,2,NA,NA,4,4,NA,NA,NA,NA,3,3,4,NA,NA,NA,1.7,1,NA,3,3,-0.632861484,-0.789492897,1.26601897
Other,3,3,3,3,3,3,3,3,3,3,NA,3,NA,NA,3,3,NA,3,NA,2,3,NA,3,2,-0.332861484,-0.415243752,0.009082872
Democrat,2,3,2,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.833333333,4,NA,4,1,0.500471849,0.624337205,-1.247853227
Republican,3,NA,3,2,2,2,4,4,4,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2.111111111,2,3,2,2.666666667,-0.221750373,-0.276632958,0.84704027
Independent,3,4,1,4,3,2,2,4,2,3,3,NA,4,3,NA,NA,NA,NA,3,2.071428571,4,NA,3,1.5,-0.261432912,-0.326136813,-0.619385178
Democrat,2,NA,1,2,1,1,1,2,1,2,NA,3,NA,1,NA,2,NA,4,NA,3.230769231,4,2,4,1.666666667,0.897907747,1.120137354,-0.409895828
Independent,4,NA,2,4,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,4,4,4,1,0.267138516,0.333254537,-1.247853227
Democrat,1,2,1,1,2,2,3,1,1,NA,4,4,NA,2,NA,2,NA,NA,3,2.928571429,4,NA,4,1,0.595709945,0.743146457,-1.247853227
Republican,3,NA,3,3,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2,NA,NA,3,-0.532861484,-0.664743182,1.26601897
Other,2,NA,1,1,1,1,2,2,1,NA,NA,2,NA,NA,2,3,2,NA,NA,3.333333333,4,2,3,2,1.000471849,1.248085779,0.009082872
Democrat,2,NA,2,2,4,4,2,3,3,NA,NA,NA,NA,3,NA,3,3,3,3,2.153846154,3,3,3,2,-0.17901533,-0.223321114,0.009082872
Independent,2,NA,1,2,2,2,2,2,2,2,2,NA,2,NA,NA,NA,2,NA,2,3.076923077,4,2,4,1.666666667,0.744061593,0.928214716,-0.409895828
Democrat,2,4,1,2,2,NA,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.625,3,NA,2,2.5,0.292138516,0.364441966,0.637550921
Democrat,3,3,1,3,NA,NA,NA,1,3,NA,NA,3,NA,3,NA,1,NA,NA,NA,2.666666667,4,NA,2,2,0.333805183,0.416421014,0.009082872
Independent,2,NA,2,3,NA,2,3,1,2,NA,2,3,4,NA,NA,2,NA,NA,NA,2.636363636,4,3,4,1.333333333,0.303502152,0.37861807,-0.828874527
Democrat,1,1,1,1,1,1,3,1,1,NA,NA,NA,NA,2,2,1,NA,NA,2,3.615384615,4,NA,4,1,1.282523132,1.59994395,-1.247853227
Independent,4,3,2,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,4,NA,3,1.5,-0.532861484,-0.664743182,-0.619385178
Republican,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2.333333333,3,3,3,2,0.000471849,0.000588631,0.009082872
Independent,3,3,2,2,2,3,2,3,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2.5,3,NA,3,2,0.167138516,0.208504822,0.009082872
Independent,3,3,4,2,2,1,3,1,2,2,NA,NA,NA,1,NA,2,NA,3,NA,2.769230769,2,NA,1,3.5,0.436369285,0.544369439,1.894487019
Independent,1,3,1,2,2,2,2,3,2,NA,2,NA,NA,NA,2,3,3,NA,3,2.785714286,4,NA,4,1,0.452852802,0.564932579,-1.247853227
Independent,3,2,2,2,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,2.714285714,3,NA,2,2.5,0.38142423,0.47582564,0.637550921
Democrat,NA,NA,1,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,1,0.667138516,0.832253397,-1.247853227
Independent,2,NA,2,2,3,3,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.375,3,3,3,2,0.042138516,0.052567679,0.009082872
Independent,2,1,2,3,2,2,NA,1,3,NA,2,NA,2,NA,2,NA,NA,2,NA,3,3,NA,3,2,0.667138516,0.832253397,0.009082872
Independent,3,NA,2,3,3,4,3,3,3,3,3,3,NA,3,NA,NA,NA,3,NA,2,3,3,3,2,-0.332861484,-0.415243752,0.009082872
Independent,NA,4,3,4,4,NA,4,3,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1.25,1,NA,NA,4,-1.082861484,-1.350866613,2.522955068
Democrat,2,2,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,4,NA,NA,1,0.867138516,1.081752826,-1.247853227
Independent,2,2,2,2,2,1,2,2,1,NA,2,2,NA,NA,NA,2,NA,2,3,3.071428571,4,NA,4,1,0.738567088,0.921360336,-1.247853227
Democrat,2,NA,1,2,2,1,2,2,1,NA,3,4,NA,4,NA,1,NA,NA,1,3,4,2,4,1.666666667,0.667138516,0.832253397,-0.409895828
Independent,4,4,4,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,4,1,-0.332861484,-0.415243752,-1.247853227
Democrat,3,NA,1,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,3,1.5,0.667138516,0.832253397,-0.619385178
Independent,3,NA,1,2,3,2,2,1,2,NA,2,NA,NA,NA,2,2,NA,NA,1,3.083333333,4,NA,3,1.5,0.750471849,0.936211492,-0.619385178
Independent,3,3,1,2,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,2,2.5,0.667138516,0.832253397,0.637550921
Democrat,2,2,1,3,3,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.666666667,3,NA,2,2.5,0.333805183,0.416421014,0.637550921
Other,3,NA,4,4,4,4,4,4,4,4,4,NA,2,NA,4,NA,NA,NA,4,1.230769231,3,3,3,2,-1.102092253,-1.374856943,0.009082872
Democrat,2,NA,1,2,NA,NA,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,3,2,0.667138516,0.832253397,0.009082872
Republican,3,NA,3,3,3,3,3,3,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1.888888889,3,3,2,2.333333333,-0.443972595,-0.553854546,0.428061571
Democrat,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.333333333,4,NA,NA,1,1.000471849,1.248085779,-1.247853227
Independent,4,NA,1,3,4,4,4,4,NA,4,4,4,4,NA,4,NA,NA,NA,NA,1.333333333,4,3,3,1.666666667,-0.999528151,-1.246908518,-0.409895828
Other,2,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,4,NA,2,2,1.467138516,1.830251116,0.009082872
Independent,3,4,1,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,4,NA,3,1.5,-0.532861484,-0.664743182,-0.619385178
Democrat,2,2,2,2,NA,NA,NA,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.857142857,4,NA,2,2,0.524281373,0.654039518,0.009082872
Independent,3,4,3,2,4,4,4,4,4,4,4,NA,NA,NA,4,4,NA,4,NA,1.285714286,3,NA,4,1.5,-1.047147198,-1.306313144,-0.619385178
Democrat,2,2,1,2,3,3,3,1,1,NA,3,NA,NA,2,3,NA,NA,NA,NA,2.833333333,4,NA,4,1,0.500471849,0.624337205,-1.247853227
Democrat,2,NA,1,1,NA,3,2,3,2,3,NA,3,NA,NA,NA,3,NA,3,3,2.583333333,4,NA,4,1,0.250471849,0.312462918,-1.247853227
Democrat,1,2,1,1,1,2,2,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,2,3.5,4,NA,4,1,1.167138516,1.456001971,-1.247853227
Democrat,2,NA,2,2,2,2,2,4,2,NA,NA,NA,NA,2,NA,2,2,NA,2,2.833333333,4,NA,4,1,0.500471849,0.624337205,-1.247853227
Democrat,2,NA,1,2,1,2,2,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3.333333333,4,3,4,1.333333333,1.000471849,1.248085779,-0.828874527
Democrat,2,NA,1,3,1,1,2,3,1,3,NA,NA,3,NA,3,3,NA,4,NA,2.692307692,4,3,4,1.333333333,0.359446208,0.44840812,-0.828874527
Democrat,3,3,1,3,3,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.444444444,4,NA,3,1.5,0.111582961,0.139199425,-0.619385178
Democrat,3,NA,2,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2.6,4,3,2,2,0.267138516,0.333254537,0.009082872
Independent,3,NA,3,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,2,2,3,2.666666667,-0.082861484,-0.103369465,0.84704027
Republican,4,NA,2,4,4,4,4,4,3,NA,2,NA,3,NA,NA,2,3,NA,3,1.769230769,1,3,4,2.333333333,-0.563630715,-0.703127709,0.428061571
Independent,2,2,1,1,3,2,2,3,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,2.916666667,4,NA,4,1,0.583805183,0.728295301,-1.247853227
Democrat,3,NA,1,2,2,2,2,1,2,2,2,NA,NA,2,NA,NA,NA,2,2,3.076923077,4,3,3,1.666666667,0.744061593,0.928214716,-0.409895828
Democrat,2,NA,1,2,1,1,1,2,1,NA,2,3,3,NA,2,NA,2,NA,NA,3.230769231,4,3,4,1.333333333,0.897907747,1.120137354,-0.828874527
Republican,4,NA,4,4,4,4,4,4,4,4,NA,4,NA,4,NA,4,4,NA,NA,1,1,4,2,2.666666667,-1.332861484,-1.662740901,0.84704027
Democrat,2,2,1,2,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.444444444,4,NA,4,1,1.111582961,1.386696574,-1.247853227
Republican,4,NA,4,4,4,4,4,4,4,NA,NA,NA,NA,4,4,NA,NA,NA,NA,1,1,4,3,2.333333333,-1.332861484,-1.662740901,0.428061571
Democrat,1,2,1,1,1,2,1,1,1,NA,NA,2,NA,NA,2,2,NA,2,2,3.5,4,NA,4,1,1.167138516,1.456001971,-1.247853227
Independent,3,NA,2,3,2,1,2,1,2,NA,2,2,NA,NA,NA,NA,NA,NA,1,3.090909091,4,2,4,1.666666667,0.758047607,0.945662228,-0.409895828
Democrat,2,1,1,3,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.571428571,4,NA,4,1,1.238567088,1.54510891,-1.247853227
Democrat,2,NA,2,4,4,1,2,1,1,NA,NA,NA,NA,3,NA,NA,NA,2,2,2.818181818,4,NA,4,1,0.485320334,0.605435733,-1.247853227
Independent,3,3,2,3,4,4,4,2,4,3,NA,NA,3,NA,3,NA,3,NA,3,1.857142857,4,NA,3,1.5,-0.475718627,-0.59345763,-0.619385178
Independent,2,NA,3,2,3,3,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.375,3,NA,NA,2,0.042138516,0.052567679,0.009082872
Republican,4,NA,3,3,4,4,4,4,3,4,NA,4,NA,NA,NA,NA,4,4,4,1.230769231,1,NA,3,3,-1.102092253,-1.374856943,1.26601897
Republican,4,NA,4,3,4,4,4,4,4,NA,4,4,3,NA,NA,NA,NA,4,NA,1.166666667,1,2,2,3.333333333,-1.166194817,-1.454824709,1.684997669
Independent,4,2,3,4,3,4,4,2,3,3,NA,3,1,3,NA,NA,NA,2,NA,2.071428571,4,NA,4,1,-0.261432912,-0.326136813,-1.247853227
Democrat,1,1,1,1,2,2,1,3,1,NA,2,4,NA,NA,NA,2,2,NA,4,3.071428571,4,NA,4,1,0.738567088,0.921360336,-1.247853227
Republican,4,3,3,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1,NA,2,3.5,-0.532861484,-0.664743182,1.894487019
Republican,4,NA,4,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.4,1,3,2,3,-0.932861484,-1.163742041,1.26601897
Democrat,2,3,2,2,3,2,3,2,2,NA,3,3,2,NA,NA,2,NA,NA,NA,2.615384615,3,NA,3,2,0.282523132,0.352446801,0.009082872
Other,4,4,4,3,4,NA,4,4,4,4,NA,4,NA,NA,NA,4,4,NA,NA,1.083333333,2,NA,3,2.5,-1.249528151,-1.558782805,0.637550921
Democrat,1,NA,1,2,1,1,1,2,1,2,NA,NA,NA,NA,2,1,2,3,NA,3.461538462,4,2,4,1.666666667,1.128676978,1.408021311,-0.409895828
Independent,1,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,4,4,3,2,2,1.667138516,2.079750545,0.009082872
Democrat,3,NA,2,3,4,4,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,4,3,3,1.666666667,-0.582861484,-0.727118039,-0.409895828
Democrat,2,NA,1,2,2,3,1,1,2,NA,NA,NA,4,NA,2,2,NA,NA,NA,3,4,3,4,1.333333333,0.667138516,0.832253397,-0.828874527
Republican,4,4,4,NA,4,NA,4,4,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1.25,1,NA,3,3,-1.082861484,-1.350866613,1.26601897
Democrat,2,NA,2,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,4,1.5,0.667138516,0.832253397,-0.619385178
Independent,2,4,1,1,2,2,3,3,4,NA,3,NA,2,4,NA,2,NA,NA,NA,2.461538462,4,NA,4,1,0.128676978,0.160524163,-1.247853227
Democrat,1,NA,1,1,2,2,2,1,1,NA,2,3,NA,NA,3,NA,NA,NA,NA,3.272727273,3,NA,3,2,0.939865789,1.172479892,0.009082872
Democrat,2,3,1,1,2,2,3,2,NA,3,NA,NA,NA,NA,3,NA,3,3,3,2.615384615,4,NA,1,2.5,0.282523132,0.352446801,0.637550921
Republican,2,NA,3,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,2,2,2,3,-0.082861484,-0.103369465,1.26601897
Republican,2,NA,3,3,2,3,3,2,3,3,NA,4,4,NA,NA,3,NA,NA,4,2,1,2,3,3,-0.332861484,-0.415243752,1.26601897
Democrat,NA,NA,1,3,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,4,1,NA,2.5,0.867138516,1.081752826,0.637550921
Democrat,2,2,1,2,2,1,2,3,1,NA,2,NA,NA,NA,NA,NA,2,4,4,2.846153846,4,NA,4,1,0.513292362,0.640330758,-1.247853227
Democrat,2,2,2,2,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,2,2,NA,NA,3,3,NA,3,2,0.667138516,0.832253397,0.009082872
Democrat,2,NA,2,3,NA,2,1,1,2,NA,2,NA,NA,NA,4,NA,NA,NA,NA,2.888888889,4,3,3,1.666666667,0.556027405,0.693642602,-0.409895828
Republican,4,4,4,3,4,NA,4,4,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1.111111111,1,NA,1,4,-1.221750373,-1.524130106,2.522955068
Independent,3,NA,1,2,2,3,NA,3,2,NA,3,3,NA,2,NA,NA,NA,2,NA,2.636363636,4,2,2,2.333333333,0.303502152,0.37861807,0.428061571
Other,4,4,2,3,NA,NA,4,3,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1.625,2,NA,2,3,-0.707861484,-0.883055183,1.26601897
Democrat,4,NA,3,3,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,4,1,-0.332861484,-0.415243752,-1.247853227
Democrat,1,NA,1,1,1,1,1,1,1,NA,1,NA,NA,1,1,NA,4,NA,NA,3.75,4,3,4,1.333333333,1.417138516,1.767876258,-0.828874527
Independent,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.666666667,2,NA,2,3,-0.666194817,-0.831076135,1.26601897
Democrat,2,NA,1,2,2,NA,2,4,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2.625,3,2,3,2.333333333,0.292138516,0.364441966,0.428061571
Republican,2,NA,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,2,2,3,2.666666667,0.667138516,0.832253397,0.84704027
Democrat,2,1,2,3,2,2,3,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3.1,4,NA,4,1,0.767138516,0.957003111,-1.247853227
Independent,2,NA,2,2,2,1,2,2,1,NA,NA,2,NA,2,2,2,NA,NA,2,3.153846154,4,2,4,1.666666667,0.82098467,1.024176035,-0.409895828
Independent,2,NA,2,2,2,2,2,2,2,NA,NA,2,2,NA,2,NA,NA,2,2,3,4,2,2,2.333333333,0.667138516,0.832253397,0.428061571
Democrat,2,NA,2,2,NA,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,NA,3,4,NA,NA,1,0.667138516,0.832253397,-1.247853227
Democrat,3,NA,3,3,NA,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.857142857,4,3,4,1.333333333,0.524281373,0.654039518,-0.828874527
Democrat,2,NA,1,3,2,NA,2,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,4,2,2,2.333333333,0.667138516,0.832253397,0.428061571
Independent,1,1,1,NA,4,NA,1,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,3.142857143,2,NA,3,2.5,0.809995659,1.010467275,0.637550921
Democrat,3,3,1,2,3,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.571428571,2,NA,3,2.5,0.238567088,0.297611761,0.637550921
Republican,4,4,4,3,4,3,3,4,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1.3,1,NA,2,3.5,-1.032861484,-1.288491756,1.894487019
Other,3,NA,4,4,4,4,4,4,4,NA,NA,NA,3,3,4,NA,NA,4,NA,1.25,2,NA,2,3,-1.082861484,-1.350866613,1.26601897
Republican,4,4,4,4,NA,4,4,4,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,3,3,-1.332861484,-1.662740901,1.26601897
Democrat,1,NA,1,1,2,2,2,3,2,NA,2,NA,2,NA,3,NA,NA,NA,3,3,4,NA,4,1,0.667138516,0.832253397,-1.247853227
Independent,4,NA,2,1,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2.4,1,3,3,2.666666667,0.067138516,0.083755107,0.84704027
Independent,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2,2,2,3,1.167138516,1.456001971,1.26601897
Independent,4,4,4,4,4,4,4,4,4,NA,4,4,NA,NA,NA,4,NA,NA,NA,1,2,NA,3,2.5,-1.332861484,-1.662740901,0.637550921
Independent,4,NA,4,2,3,3,4,3,4,NA,3,NA,NA,NA,NA,NA,3,2,NA,1.818181818,1,2,2,3.333333333,-0.514679666,-0.642061415,1.684997669
Independent,2,NA,3,4,4,NA,4,2,3,NA,NA,NA,NA,NA,NA,2,NA,NA,4,1.888888889,4,4,2,1.666666667,-0.443972595,-0.553854546,-0.409895828
Independent,3,2,2,2,NA,2,4,2,4,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2.5,2,NA,3,2.5,0.167138516,0.208504822,0.637550921
Democrat,3,NA,2,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,4,2,3,2,0.467138516,0.582753967,0.009082872
Democrat,2,NA,1,2,2,1,2,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3.444444444,4,2,4,1.666666667,1.111582961,1.386696574,-0.409895828
Republican,3,2,3,1,2,NA,2,4,2,2,3,NA,NA,2,NA,NA,2,NA,NA,2.666666667,1,NA,2,3.5,0.333805183,0.416421014,1.894487019
Independent,3,NA,2,2,2,2,3,2,2,NA,NA,NA,NA,NA,NA,2,3,NA,NA,2.7,3,NA,2,2.5,0.367138516,0.458004252,0.637550921
Republican,4,NA,4,4,4,NA,4,4,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,1,4,4,2,-1.332861484,-1.662740901,0.009082872
Democrat,1,2,1,1,1,1,2,1,2,NA,NA,2,NA,NA,2,NA,NA,3,NA,3.416666667,4,NA,4,1,1.083805183,1.352043875,-1.247853227
Independent,4,NA,3,2,NA,NA,4,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,4,1.428571429,2,3,3,2.333333333,-0.904290055,-1.128099266,0.428061571
Independent,2,NA,1,2,2,2,2,3,2,2,2,NA,NA,2,NA,2,NA,2,NA,3,4,2,4,1.666666667,0.667138516,0.832253397,-0.409895828
Independent,2,NA,1,1,3,2,2,3,1,3,3,NA,NA,NA,2,NA,3,2,NA,2.846153846,3,1,2,3,0.513292362,0.640330758,1.26601897
Independent,3,2,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,4,NA,3,1.5,0.867138516,1.081752826,-0.619385178
Independent,4,4,4,4,4,4,4,4,4,NA,4,NA,4,NA,NA,NA,4,4,4,1,4,NA,4,1,-1.332861484,-1.662740901,-1.247853227
Democrat,2,NA,1,2,1,1,2,3,1,NA,NA,NA,NA,3,1,2,NA,NA,3,3.166666667,4,NA,4,1,0.833805183,1.040169588,-1.247853227
Democrat,2,NA,2,2,1,2,2,2,1,NA,2,2,NA,2,NA,NA,NA,2,NA,3.166666667,4,2,4,1.666666667,0.833805183,1.040169588,-0.409895828
Republican,3,NA,3,2,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,3,NA,NA,3,2.125,2,3,3,2.333333333,-0.207861484,-0.259306608,0.428061571
Republican,4,4,4,4,4,4,4,4,4,NA,NA,4,3,4,NA,NA,NA,NA,4,1.076923077,1,NA,3,3,-1.255938407,-1.566779582,1.26601897
Democrat,1,NA,1,1,1,4,1,1,1,NA,NA,NA,4,4,NA,1,4,NA,4,2.846153846,4,2,3,2,0.513292362,0.640330758,0.009082872
Independent,4,NA,2,3,3,4,3,3,3,NA,NA,3,NA,3,3,3,NA,NA,3,1.923076923,4,4,4,1,-0.409784561,-0.511205071,-1.247853227
NA,3,NA,1,3,NA,4,3,2,4,NA,4,NA,NA,3,4,3,4,NA,NA,1.833333333,2,3,3,2.333333333,-0.499528151,-0.623159943,0.428061571
Independent,3,3,2,2,3,2,2,2,2,NA,3,NA,2,2,2,NA,NA,NA,NA,2.692307692,4,NA,3,1.5,0.359446208,0.44840812,-0.619385178
Republican,3,3,4,4,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.666666667,2,NA,3,2.5,-0.666194817,-0.831076135,0.637550921
Republican,4,4,3,3,4,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1.6,1,NA,1,4,-0.732861484,-0.914242611,2.522955068
Republican,4,NA,4,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,1,NA,NA,4,-1.082861484,-1.350866613,2.522955068
Republican,3,4,3,3,4,3,3,4,3,NA,NA,3,NA,NA,NA,4,NA,NA,NA,1.636363636,1,NA,3,3,-0.696497848,-0.868879079,1.26601897
Republican,3,NA,3,3,NA,NA,NA,2,2,NA,NA,3,NA,NA,NA,NA,NA,NA,2,2.428571429,2,3,3,2.333333333,0.095709945,0.119397883,0.428061571
